esd,record_time,soc,pack_voltage (V),charge_current (A),max_cell_voltage (V),min_cell_voltage (V),max_temperature (¡æ),min_temperature (¡æ),available_energy (kw),available_capacity (Ah)
7073357,2015/1/30 19:50,16,324.4,-22.5,3.613,3.594,33,31,7.3,21.95
3002716,2015/2/3 18:59,16,324.4,-22.5,3.612,3.594,33,31,7.32,22.02
2995135,2015/2/12 16:17,16.4,324.4,-22.5,3.613,3.594,33,31,7.34,22.07
5011218,2015/2/16 13:42,16.4,324.4,-22.5,3.613,3.595,33,31,7.36,22.12
8554662,2015/2/16 18:36,16.4,324.4,-22.5,3.615,3.595,33,31,7.37,22.17
8052184,2015/2/19 15:43,16.4,324.4,-22.5,3.614,3.596,33,31,7.39,22.22
6178541,2015/2/19 18:09,16.4,324.6,-22.5,3.614,3.596,33,31,7.41,22.27
8499802,2015/2/24 18:22,16.4,324.6,-22.5,3.615,3.596,33,31,7.42,22.32
8259939,2015/2/26 18:01,16.4,324.6,-22.5,3.615,3.596,33,31,7.43,22.37
2032051,2015/2/28 20:51,16.4,324.6,-22.5,3.615,3.597,33,31,7.46,22.42
7357133,2015/3/3 16:35,16.4,324.6,-22.5,3.616,3.597,33,31,7.47,22.47
6032746,2015/3/4 19:21,16.4,324.7,-22.5,3.616,3.596,33,31,7.48,22.51
4072758,2015/3/4 19:46,16.4,324.7,-22.5,3.617,3.597,33,31,7.51,22.56
6830717,2015/3/5 14:32,16.8,324.7,-22.5,3.617,3.598,33,31,7.52,22.61
6455251,2015/3/5 19:49,16.8,324.7,-22.5,3.617,3.598,33,31,7.54,22.69
5376208,2015/3/6 18:11,16.8,324.7,-22.5,3.617,3.599,33,31,7.56,22.74
2914893,2015/3/9 17:43,16.8,324.7,-22.5,3.617,3.599,33,31,7.58,22.78
5224755,2015/3/12 17:39,16.8,324.9,-22.5,3.618,3.599,33,31,7.59,22.83
8450261,2015/3/13 12:16,16.8,324.9,-22.5,3.618,3.599,33,31,7.61,22.87
9731366,2015/3/16 17:37,16.8,324.9,-22.5,3.618,3.6,33,31,7.63,22.93
9473434,2015/3/18 18:30,16.8,324.9,-22.5,3.618,3.6,33,31,7.64,22.98
2817985,2015/3/19 11:19,16.8,324.9,-22.5,3.619,3.6,33,31,7.66,23.03
5820347,2015/3/19 17:40,16.8,324.9,-22.5,3.619,3.601,33,31,7.68,23.08
5338238,2015/3/20 12:20,16.8,324.9,-22.5,3.62,3.601,33,31,7.69,23.13
3192864,2015/3/23 17:14,17.2,325,-22.5,3.62,3.602,33,31,7.71,23.18
9813434,2015/3/26 11:02,17.2,325,-22.5,3.621,3.602,33,31,7.72,23.23
6362922,2015/3/26 13:51,17.2,325,-22.5,3.621,3.603,33,31,7.75,23.3
3910417,2015/3/26 17:08,17.2,325,-22.5,3.621,3.603,33,31,7.76,23.35
9537925,2015/3/27 12:48,17.2,325,-22.5,3.621,3.603,33,31,7.78,23.4
5688787,2015/3/27 16:47,17.2,325.2,-22.5,3.621,3.604,33,31,7.79,23.45
2189714,2015/3/30 14:59,17.2,325.2,-22.5,3.621,3.603,33,31,7.82,23.5
9009117,2015/3/30 16:27,17.2,325.2,-22.5,3.622,3.604,33,31,7.83,23.55
6241251,2015/3/31 16:42,17.2,325.2,-22.5,3.622,3.604,33,31,7.84,23.6
4027242,2015/4/1 17:02,17.2,325.2,-22.5,3.622,3.604,33,31,7.87,23.65
1534730,2015/4/2 17:02,17.6,325.2,-22.5,3.623,3.605,33,31,7.88,23.7
4970729,2015/4/6 17:03,17.6,325.3,-22.5,3.624,3.605,33,31,7.89,23.75
5850084,2015/4/7 12:06,17.6,325.3,-22.5,3.623,3.605,33,31,7.92,23.8
5503753,2015/4/7 17:30,17.6,325.3,-22.5,3.624,3.605,33,31,7.93,23.84
8356365,2015/4/8 12:30,17.6,325.3,-22.5,3.624,3.606,33,31,7.95,23.92
7116934,2015/4/9 11:14,17.6,325.3,-22.5,3.624,3.607,33,31,7.97,23.97
4303750,2015/4/9 17:00,17.6,325.3,-22.5,3.625,3.606,33,31,7.99,24.02
7027707,2015/4/15 15:35,17.6,325.5,-22.5,3.625,3.607,33,31,8,24.07
4268564,2015/4/20 17:29,17.6,325.3,-22.5,3.625,3.607,33,31,8.01,24.09
7120657,2015/4/21 16:04,17.6,325.5,-22.5,3.625,3.607,33,31,8.03,24.15
7620374,2015/4/22 11:36,17.6,325.5,-22.5,3.625,3.607,33,31,8.05,24.21
8539198,2015/4/22 16:24,18,325.5,-22.5,3.626,3.608,33,31,8.07,24.26
9402479,2015/4/27 16:22,18,325.5,-22.5,3.626,3.608,33,31,8.08,24.31
4904971,2015/4/28 17:04,18,325.5,-22.5,3.627,3.608,33,31,8.099999,24.36
9371693,2015/4/30 18:23,18,325.7,-22.5,3.627,3.608,33,31,8.12,24.41
9600945,2015/5/4 16:02,18,325.7,-22.5,3.627,3.608,33,31,8.13,24.46
4047449,2015/5/5 14:24,18,325.7,-22.5,3.627,3.609,33,31,8.15,24.51
8906717,2015/5/6 17:43,18,325.7,-22.5,3.628,3.61,33,31,8.17,24.56
2151745,2015/5/7 17:19,18,325.8,-22.5,3.627,3.609,33,31,8.19,24.63
3904382,2015/5/8 15:46,18,325.7,-22.5,3.628,3.61,33,31,8.2,24.68
6412124,2015/5/11 17:17,18,325.8,-22.5,3.628,3.609,33,31,8.22,24.71
9579135,2015/5/12 16:12,18,325.8,-22.5,3.628,3.61,33,31,8.23,24.76
3526792,2015/5/13 15:43,18.4,325.8,-22.5,3.629,3.61,33,31,8.25,24.81
2103254,2015/5/14 17:13,18.4,325.8,-22.5,3.629,3.61,33,31,8.28,24.88
8767465,2015/5/15 15:38,18.4,325.8,-22.5,3.628,3.61,33,31,8.29,24.93
4927630,2015/5/18 16:50,18.4,325.8,-22.5,3.629,3.61,33,31,8.3,24.98
3661095,2015/5/20 16:53,18.4,325.8,-22.5,3.629,3.611,33,31,8.33,25.03
8681532,2015/5/21 17:04,18.4,325.8,-22.5,3.63,3.611,33,31,8.34,25.08
2847811,2015/5/22 17:37,18.4,326,-22.5,3.63,3.613,33,31,8.349999,25.13
1779780,2015/5/26 16:45,18.4,326,-22.5,3.63,3.612,33,31,8.37,25.17
9038095,2015/5/27 16:59,18.4,326,-22.5,3.631,3.613,33,31,8.389999,25.22
6839807,2015/5/28 11:38,18.4,326,-22.5,3.631,3.613,33,31,8.4,25.27
7513206,2015/5/28 17:07,18.8,326,-22.5,3.63,3.613,33,31,8.42,25.32
9651531,2015/5/29 12:31,18.8,326,-22.5,3.631,3.613,33,31,8.44,25.37
9066880,2015/6/1 16:50,18.8,326.1,-22.5,3.632,3.614,33,31,8.46,25.44
4023183,2015/6/2 17:31,18.8,326.1,-22.5,3.632,3.613,33,31,8.48,25.49
1667896,2015/6/3 15:53,18.8,326.1,-22.5,3.631,3.614,33,31,8.49,25.54
4907994,2015/6/4 11:27,18.8,326.1,-22.5,3.632,3.614,33,31,8.51,25.59
8544912,2015/6/4 16:58,18.8,326.1,-22.5,3.632,3.614,33,31,8.53,25.64
4339735,2015/6/5 12:39,18.8,326.1,-22.5,3.633,3.614,33,31,8.54,25.69
7670282,2015/6/5 17:26,18.8,326.1,-22.5,3.632,3.614,33,31,8.559999,25.74
2534249,2015/6/9 17:13,18.8,326.1,-22.5,3.633,3.615,33,31,8.58,25.79
2892603,2015/6/10 16:55,18.8,326.1,-22.5,3.633,3.615,33,31,8.59,25.84
2451809,2015/6/10 17:00,19.2,326.3,-22.5,3.633,3.615,33,31,8.61,25.89
1986587,2015/6/11 14:42,19.2,326.3,-22.5,3.633,3.615,33,31,8.63,25.94
5345683,2015/6/12 12:40,19.2,326.3,-22.5,3.634,3.616,33,31,8.639999,25.99
2211634,2015/6/15 17:12,19.2,326.3,-22.5,3.634,3.615,33,31,8.66,26.06
1119614,2015/6/16 11:25,19.2,326.3,-22.5,3.634,3.615,33,31,8.679999,26.11
8689860,2015/6/17 17:29,19.2,326.3,-22.5,3.634,3.617,33,31,8.7,26.16
5481838,2015/6/18 13:03,19.2,326.3,-22.5,3.634,3.617,33,31,8.71,26.21
5187868,2015/6/19 16:32,19.2,326.3,-22.5,3.635,3.616,33,31,8.73,26.26
7546366,2015/6/22 15:14,19.2,326.4,-22.5,3.634,3.617,33,31,8.75,26.31
5407577,2015/6/23 17:02,19.2,326.3,-22.5,3.635,3.618,33,31,8.76,26.36
1634517,2015/6/24 17:44,19.6,326.4,-22.5,3.634,3.617,33,31,8.78,26.41
7511668,2015/6/25 11:21,19.6,326.4,-22.5,3.635,3.618,33,31,8.8,26.46
2225529,2015/7/13 18:21,19.6,326.4,-22.5,3.635,3.618,33,31,8.809999,26.5
2719439,2015/7/14 13:56,19.6,326.4,-22.5,3.635,3.618,33,31,8.83,26.55
6475803,2015/7/15 16:25,19.6,326.4,-22.5,3.635,3.619,33,31,8.849999,26.6
7314718,2015/7/16 16:29,19.6,326.6,-22.5,3.635,3.619,33,31,8.86,26.65
8726154,2015/7/17 17:12,19.6,326.4,-22.5,3.636,3.619,33,31,8.88,26.7
9884932,2015/7/20 14:57,19.6,326.4,-22.5,3.635,3.619,33,31,8.9,26.75
2725835,2015/7/21 16:12,19.6,326.4,-22.5,3.636,3.619,33,31,8.91,26.8
9251926,2015/7/21 16:55,19.6,326.6,-22.5,3.635,3.619,33,31,8.94,26.87
7848461,2015/7/22 16:45,19.6,326.6,-22.5,3.636,3.62,33,31,8.95,26.92
2450078,2015/7/23 12:06,20,326.4,-22.5,3.636,3.62,33,31,8.97,26.97
8294063,2015/7/23 18:16,20,326.6,-22.5,3.636,3.621,33,31,8.99,27.02
8369555,2015/7/24 16:23,20,326.6,-22.5,3.636,3.621,33,31,9,27.07
7946065,2015/7/27 17:10,20,326.6,-22.5,3.636,3.62,33,31,9.02,27.12
2860677,2015/7/28 16:14,20,326.6,-22.5,3.637,3.621,33,31,9.04,27.17
5319961,2015/7/30 17:37,20,326.6,-22.5,3.636,3.621,33,31,9.05,27.22
8693478,2015/8/3 17:18,20,326.6,-22.5,3.637,3.621,33,31,9.07,27.27
9401194,2015/8/4 14:28,20,326.6,-22.5,3.637,3.622,33,31,9.09,27.32
6864613,2015/8/5 16:24,20,326.7,-22.5,3.636,3.622,33,31,9.099999,27.37
6383107,2015/8/6 11:15,20,326.7,-22.5,3.638,3.621,33,31,9.12,27.42
7109071,2015/8/6 17:13,20,326.6,-22.5,3.637,3.621,33,31,9.139999,27.47
5544644,2015/8/7 12:31,20.4,326.7,-22.5,3.638,3.621,33,31,9.16,27.54
8796946,2015/8/7 16:52,20.4,326.7,-22.5,3.639,3.623,33,31,9.17,27.59
7932903,2015/8/10 16:25,20.4,326.7,-22.5,3.637,3.623,33,31,9.19,27.64
5511788,2015/8/12 15:14,20.4,326.7,-22.5,3.639,3.622,33,31,9.21,27.69
2177313,2015/8/12 15:42,20.4,326.7,-22.5,3.639,3.624,33,31,9.22,27.74
4155559,2015/8/13 11:08,20.4,326.7,-22.5,3.639,3.623,33,31,9.24,27.79
7684218,2015/8/13 17:16,20.4,326.7,-22.5,3.638,3.623,33,31,9.26,27.83
4774630,2015/8/14 12:32,20.4,326.7,-22.5,3.638,3.623,33,31,9.27,27.88
8889063,2015/8/14 16:45,20.4,326.7,-22.5,3.638,3.624,33,31,9.29,27.93
1667198,2015/8/17 17:03,20.4,326.7,-22.5,3.639,3.624,33,31,9.3,27.98
3918469,2015/8/18 17:07,20.4,326.7,-22.5,3.639,3.625,33,31,9.32,28.03
5137159,2015/8/19 13:08,20.8,326.7,-22.5,3.639,3.624,33,31,9.34,28.08
9198706,2015/8/19 16:56,20.8,326.9,-22.5,3.639,3.625,33,31,9.349999,28.13
7484631,2015/8/20 11:21,20.8,326.7,-22.5,3.639,3.625,33,31,9.37,28.2
5047224,2015/8/20 17:34,20.8,326.9,-22.5,3.639,3.625,33,31,9.4,28.25
7612366,2015/8/21 15:25,20.8,326.9,-22.5,3.64,3.625,33,31,9.41,28.3
1943326,2015/8/24 17:44,20.8,326.9,-22.5,3.639,3.625,33,31,9.429999,28.35
4773595,2015/8/25 14:33,20.8,326.9,-22.5,3.64,3.626,33,31,9.45,28.4
8710352,2015/8/25 17:52,20.8,326.9,-22.5,3.64,3.626,33,31,9.46,28.45
6946930,2015/8/26 16:15,20.8,326.9,-22.5,3.64,3.626,33,31,9.48,28.5
9080203,2015/8/27 11:22,20.8,326.9,-22.5,3.64,3.626,33,31,9.5,28.55
1310541,2015/8/27 14:26,21.2,326.9,-22.5,3.64,3.626,33,31,9.51,28.6
2051880,2015/8/28 15:04,21.2,326.9,-22.5,3.64,3.626,33,31,9.53,28.65
2151405,2015/8/31 17:07,21.2,326.9,-22.5,3.64,3.626,33,31,9.55,28.7
9830354,2015/9/1 16:34,21.2,326.9,-22.5,3.64,3.628,33,31,9.559999,28.75
7366688,2015/9/2 14:27,21.2,326.9,-22.5,3.641,3.626,33,31,9.58,28.8
3690401,2015/9/2 16:50,21.2,326.9,-22.5,3.64,3.627,33,31,9.599999,28.87
2666943,2015/9/4 16:44,21.2,327.1,-22.5,3.64,3.628,33,31,9.62,28.92
8966239,2015/9/8 13:45,21.2,327.1,-22.5,3.641,3.628,33,31,9.63,28.97
1060291,2015/9/8 17:29,21.2,327.1,-22.5,3.641,3.628,33,31,9.65,29.02
6178031,2015/9/9 17:26,21.2,327.1,-22.5,3.641,3.629,33,31,9.66,29.07
6720753,2015/9/10 12:27,21.2,327.1,-22.5,3.641,3.628,33,31,9.679999,29.12
5465287,2015/9/10 16:47,21.6,327.1,-22.5,3.641,3.627,33,31,9.7,29.16
4722963,2015/9/11 12:34,21.6,327.1,-22.5,3.642,3.628,33,31,9.71,29.21
2353637,2015/9/14 17:28,21.6,327.1,-22.5,3.642,3.628,33,31,9.73,29.26
4542365,2015/9/17 17:25,21.6,327.1,-22.5,3.642,3.629,33,31,9.75,29.31
4235947,2015/9/18 16:36,21.6,327.1,-22.5,3.642,3.629,33,31,9.76,29.36
3346938,2015/9/21 11:19,21.6,327.1,-22.5,3.642,3.628,33,31,9.78,29.41
1377083,2015/10/1 11:21,21.6,327.1,-22.5,3.643,3.629,33,31,9.809999,29.48
9206532,2015/10/1 12:06,21.6,327.2,-22.5,3.642,3.629,33,31,9.82,29.53
3574851,2015/10/1 17:16,21.6,327.1,-22.5,3.643,3.63,33,31,9.83,29.58
1881770,2015/1/15 13:59,21.6,327.2,-22.5,3.642,3.629,33,31,9.86,29.63
2564911,2015/1/21 14:39,22,327.1,-22.5,3.643,3.629,33,31,9.87,29.68
7028441,2015/1/21 18:57,22,327.1,-22.5,3.643,3.629,33,31,9.889999,29.73
2162299,2015/1/26 18:09,22,327.1,-22.5,3.643,3.63,33,31,9.91,29.78
5859533,2015/1/27 17:27,22,327.2,-22.5,3.642,3.63,33,31,9.92,29.83
4317364,2015/1/28 20:32,22,327.2,-22.5,3.643,3.63,33,31,9.94,29.88
1176150,2015/2/3 14:34,22,327.2,-22.5,3.643,3.629,33,31,9.95,29.93
6226034,2015/2/3 18:43,22,327.2,-22.5,3.643,3.631,33,31,9.98,30
4366553,2015/2/4 14:29,22,327.2,-22.5,3.644,3.63,33,31,9.99,30.05
3217970,2015/2/6 14:14,22,327.2,-22.5,3.643,3.63,33,31,10.01,30.1
7786095,2015/2/10 14:09,22,327.2,-22.5,3.644,3.63,33,31,10.02,30.15
4705451,2015/2/12 19:27,22,327.2,-22.5,3.644,3.631,33,31,10.04,30.2
1699715,2015/2/16 14:29,22.4,327.2,-22.5,3.644,3.631,33,31,10.06,30.25
7648104,2015/2/18 13:38,22.4,327.2,-22.5,3.644,3.631,33,31,10.07,30.3
4635698,2015/2/18 17:35,22.4,327.2,-22.5,3.644,3.631,33,31,10.09,30.35
3923928,2015/2/19 14:02,22.4,327.4,-22.5,3.644,3.631,33,31,10.11,30.4
8791850,2015/2/19 17:55,22.4,327.4,-22.5,3.645,3.631,33,31,10.12,30.45
1824270,2015/2/23 17:40,22.4,327.4,-22.5,3.644,3.632,33,31,10.14,30.49
2321993,2015/3/12 16:13,22.4,327.2,-22.5,3.645,3.632,33,31,10.16,30.54
7906889,2015/3/12 21:37,22.4,327.4,-22.5,3.644,3.632,33,31,10.18,30.61
5923518,2015/3/13 16:07,22.4,327.4,-22.5,3.645,3.632,33,31,10.19,30.66
4264640,2015/3/17 21:10,22.4,327.4,-22.5,3.645,3.632,33,31,10.22,30.71
6087939,2015/3/23 17:18,22.4,327.4,-22.5,3.645,3.632,33,31,10.23,30.76
2097707,2015/3/30 18:50,22.8,327.4,-22.5,3.645,3.632,33,31,10.24,30.81
9090606,2015/3/31 20:36,22.8,327.4,-22.5,3.646,3.633,33,31,10.27,30.86
4833980,2015/4/1 21:02,22.8,327.4,-22.5,3.646,3.633,33,31,10.28,30.91
9998981,2015/4/2 17:03,22.8,327.4,-22.5,3.646,3.633,33,31,10.29,30.96
1968884,2015/4/6 13:12,22.8,327.4,-22.5,3.646,3.632,33,31,10.31,31.01
4775619,2015/4/6 16:59,22.8,327.4,-22.5,3.645,3.633,33,31,10.33,31.06
7165535,2015/4/7 20:34,22.8,327.4,-22.5,3.646,3.633,33,31,10.35,31.11
6108765,2015/4/17 17:45,22.8,327.5,-22.5,3.646,3.633,33,31,10.37,31.17
5431268,2015/4/27 17:48,22.8,327.4,-22.5,3.646,3.633,33,31,10.38,31.22
8807066,2015/4/28 15:50,22.8,327.4,-22.5,3.646,3.633,33,31,10.4,31.28
2366312,2015/4/29 17:10,23.2,327.4,-22.5,3.646,3.634,33,31,10.42,31.33
6533184,2015/4/30 19:14,23.2,327.5,-22.5,3.647,3.634,33,31,10.43,31.38
8146919,2015/5/1 19:26,23.2,327.5,-22.5,3.647,3.634,33,31,10.45,31.44
9240795,2015/5/4 13:27,23.2,327.5,-22.5,3.646,3.634,33,31,10.47,31.48
9131704,2015/5/4 21:02,23.2,327.5,-22.5,3.647,3.634,33,31,10.48,31.53
8258612,2015/5/5 18:45,23.2,327.5,-22.5,3.646,3.634,33,31,10.5,31.58
5663108,2015/5/13 17:14,23.2,327.5,-22.5,3.646,3.634,33,31,10.52,31.64
6649705,2015/5/14 16:13,23.2,327.5,-22.5,3.647,3.635,33,31,10.54,31.69
5226944,2015/5/14 19:55,23.2,327.5,-22.5,3.647,3.635,33,31,10.55,31.74
8829161,2015/5/15 17:04,23.2,327.5,-22.5,3.647,3.635,33,31,10.58,31.79
6295415,2015/5/18 15:41,23.2,327.5,-22.5,3.647,3.635,33,31,10.59,31.84
2486127,2015/5/19 16:45,23.6,327.5,-22.5,3.647,3.635,33,31,10.61,31.91
3297805,2015/5/20 17:16,23.6,327.5,-22.5,3.647,3.635,33,31,10.63,31.96
8025036,2015/5/21 19:12,23.6,327.5,-22.5,3.648,3.635,33,31,10.65,32.01
6067782,2015/5/27 17:14,23.6,327.5,-22.5,3.648,3.635,33,31,10.65,32.04
5570215,2015/5/29 17:09,23.6,327.7,-22.5,3.648,3.636,33,31,10.68,32.11
4150137,2015/6/2 15:55,23.6,327.5,-22.5,3.648,3.635,33,31,10.7,32.16
1851465,2015/6/3 17:04,23.6,327.7,-22.5,3.648,3.635,33,31,10.71,32.21
8612143,2015/6/4 13:03,23.6,327.5,-22.5,3.648,3.636,33,31,10.73,32.26
1256772,2015/6/4 20:03,23.6,327.7,-22.5,3.648,3.636,33,31,10.74,32.31
6326627,2015/6/8 19:17,23.6,327.7,-22.5,3.649,3.636,33,31,10.77,32.37
9547336,2015/6/10 14:20,24,327.7,-22.5,3.648,3.636,33,31,10.78,32.43
2660497,2015/6/10 18:38,24,327.7,-22.5,3.648,3.636,33,31,10.8,32.48
7264751,2015/6/11 19:37,24,327.7,-22.5,3.648,3.636,33,31,10.81,32.53
4974779,2015/6/12 14:28,24,327.7,-22.5,3.648,3.636,33,31,10.83,32.58
4575807,2015/6/12 19:16,24,327.7,-22.5,3.649,3.635,33,31,10.85,32.62
9976151,2015/6/15 13:44,24,327.7,-22.5,3.649,3.637,33,31,10.86,32.67
1258066,2015/6/15 17:03,24,327.7,-22.5,3.649,3.637,33,31,10.88,32.72
8999662,2015/6/16 17:49,24,327.7,-22.5,3.649,3.637,33,31,10.9,32.77
3839404,2015/6/17 18:04,24,327.7,-22.5,3.65,3.637,33,31,10.91,32.82
3416621,2015/6/18 19:48,24,327.7,-22.5,3.65,3.637,33,31,10.93,32.89
6905541,2015/6/22 18:43,24,327.7,-22.5,3.649,3.637,33,31,10.96,32.94
1104463,2015/6/23 15:43,24.4,327.8,-22.5,3.65,3.638,33,31,10.97,32.99
3913179,2015/6/24 16:57,24.4,327.8,-22.5,3.65,3.637,33,31,10.98,33.04
2011252,2015/6/26 13:32,24.4,327.8,-22.5,3.65,3.638,33,31,11.01,33.09
6076670,2015/6/26 17:25,24.4,327.8,-22.5,3.65,3.638,33,31,11.02,33.14
1890363,2015/6/29 17:25,24.4,327.7,-22.5,3.651,3.639,33,31,11.04,33.19
5997459,2015/6/30 17:54,24.4,327.8,-22.5,3.65,3.638,33,31,11.06,33.24
7179065,2015/7/1 18:36,24.4,327.8,-22.5,3.651,3.639,33,31,11.07,33.29
4506034,2015/7/6 16:29,24.4,327.8,-22.5,3.651,3.638,33,31,11.09,33.34
7461794,2015/7/8 17:23,24.4,327.8,-22.5,3.65,3.638,33,31,11.1,33.39
3320247,2015/7/15 16:16,24.4,327.8,-22.5,3.65,3.638,33,31,11.12,33.44
2118414,2015/7/16 17:32,24.8,327.8,-22.5,3.65,3.638,33,31,11.14,33.5
8679380,2015/7/17 17:08,24.8,327.8,-22.5,3.651,3.638,33,31,11.16,33.55
2409826,2015/7/20 18:44,24.8,327.8,-22.5,3.651,3.638,33,31,11.17,33.6
7817859,2015/7/21 15:58,24.8,328,-22.5,3.651,3.639,33,31,11.19,33.65
6935812,2015/7/23 17:23,24.8,327.8,-22.5,3.651,3.639,33,32,11.21,33.7
5155934,2015/7/27 20:24,24.8,328,-22.5,3.651,3.639,33,32,11.23,33.77
5808039,2015/7/28 19:37,24.8,328,-22.5,3.651,3.639,33,32,11.24,33.82
4193479,2015/7/29 19:14,24.8,328,-22.5,3.651,3.639,33,32,11.27,33.87
1859460,2015/7/30 18:27,24.8,328,-22.5,3.652,3.639,33,32,11.27,33.91
4861447,2015/8/3 13:29,24.8,328,-22.5,3.651,3.639,33,32,11.29,33.97
6675795,2015/8/3 16:19,24.8,328,-22.5,3.651,3.639,33,32,11.32,34.02
7296683,2015/8/3 20:50,25.2,328,-22.5,3.652,3.64,33,32,11.33,34.07
5164549,2015/8/4 17:00,25.2,328,-22.5,3.652,3.639,33,32,11.34,34.12
3898980,2015/8/5 13:17,25.2,328,-22.5,3.653,3.64,33,32,11.37,34.17
6186530,2015/8/5 18:55,25.2,328,-22.5,3.652,3.64,33,32,11.39,34.24
8842700,2015/8/6 16:35,25.2,328,-22.5,3.652,3.639,33,32,11.4,34.29
2890933,2015/8/6 19:21,25.2,328,-22.5,3.652,3.64,33,32,11.42,34.34
7556587,2015/8/7 13:06,25.2,328,-22.5,3.653,3.64,33,32,11.44,34.39
8170464,2015/8/7 18:57,25.2,328,-22.5,3.653,3.64,33,32,11.45,34.44
8958839,2015/8/10 13:06,25.2,328.2,-22.5,3.652,3.64,33,32,11.47,34.48
1792624,2015/8/11 13:07,25.2,328,-22.5,3.653,3.641,33,32,11.49,34.53
2838084,2015/8/11 16:55,25.6,328.2,-22.5,3.654,3.64,33,32,11.5,34.58
8471653,2015/8/13 17:58,25.6,328,-22.5,3.653,3.64,33,32,11.52,34.63
4105012,2015/8/13 18:49,25.6,328.2,-22.5,3.653,3.641,33,32,11.54,34.7
2834438,2015/8/17 18:03,25.6,328,-22.5,3.654,3.641,33,32,11.56,34.75
8161363,2015/8/17 20:18,25.6,328.2,-22.5,3.654,3.641,33,32,11.57,34.8
2016392,2015/8/18 14:48,25.6,328.2,-22.5,3.654,3.641,33,32,11.59,34.85
5098975,2015/8/19 20:06,25.6,328.2,-22.5,3.654,3.642,33,32,11.61,34.9
2968857,2015/8/20 18:57,25.6,328.2,-22.5,3.654,3.641,33,32,11.62,34.95
2095458,2015/8/21 15:25,25.6,328.2,-22.5,3.654,3.641,33,32,11.64,35
6992976,2015/8/24 15:05,25.6,328.2,-22.5,3.653,3.642,33,32,11.65,35.05
3059726,2015/8/25 16:13,25.6,328.2,-22.5,3.654,3.642,33,32,11.67,35.1
2896987,2015/8/26 13:11,26,328.3,-22.5,3.654,3.642,33,32,11.69,35.15
7903886,2015/8/27 14:28,26,328.2,-22.5,3.654,3.642,33,32,11.7,35.2
6808795,2015/8/27 16:48,26,328.2,-22.5,3.654,3.643,33,32,11.73,35.26
5239236,2015/8/27 18:23,26,328.3,-22.5,3.654,3.643,33,32,11.75,35.31
1547224,2015/8/31 13:19,26,328.3,-22.5,3.654,3.643,33,32,11.76,35.36
8402166,2015/8/31 17:22,26,328.3,-22.5,3.654,3.643,33,32,11.78,35.42
2022698,2015/9/1 17:38,26,328.2,-22.5,3.655,3.643,33,32,11.8,35.47
9150409,2015/9/1 19:38,26,328.3,-22.5,3.655,3.643,33,32,11.81,35.52
9820762,2015/9/2 13:00,26,328.3,-22.5,3.655,3.642,33,32,11.83,35.57
3992691,2015/9/2 14:52,26,328.3,-22.5,3.656,3.643,33,32,11.85,35.63
8608385,2015/9/2 20:12,26.4,328.2,-22.5,3.655,3.643,33,32,11.87,35.68
3443841,2015/9/3 15:38,26.4,328.3,-22.5,3.655,3.643,33,32,11.88,35.73
1918100,2015/9/3 20:18,26.4,328.3,-22.5,3.655,3.643,33,32,11.9,35.78
9091743,2015/9/4 13:20,26.4,328.3,-22.5,3.655,3.643,33,32,11.92,35.83
