esd,record_time,soc,pack_voltage (V),charge_current (A),max_cell_voltage (V),min_cell_voltage (V),max_temperature (℃),min_temperature (℃),available_energy (kw),available_capacity (Ah),source
100000025,2.02E+13,16.4,324.4,-22.5,3.614,3.596,33,31,7.39,22.22,real
100000026,2.02E+13,16.4,324.6,-22.5,3.614,3.596,33,31,7.41,22.27,real
100000027,2.02E+13,16.4,324.6,-22.5,3.615,3.596,33,31,7.42,22.32,real
100000028,2.02E+13,16.4,324.6,-22.5,3.615,3.596,33,31,7.43,22.37,real
100000029,2.02E+13,16.4,324.6,-22.5,3.615,3.597,33,31,7.46,22.42,real
100000030,2.02E+13,16.4,324.6,-22.5,3.616,3.597,33,31,7.47,22.47,real
100000031,2.02E+13,16.4,324.7,-22.5,3.616,3.596,33,31,7.48,22.51,real
100000032,2.02E+13,16.4,324.7,-22.5,3.617,3.597,33,31,7.51,22.56,real
100000033,2.02E+13,16.8,324.7,-22.5,3.617,3.598,33,31,7.52,22.61,real
100000034,2.02E+13,16.8,324.7,-22.5,3.617,3.598,33,31,7.54,22.69,real
100000035,2.02E+13,16.8,324.7,-22.5,3.617,3.599,33,31,7.56,22.74,real
100000036,2.02E+13,16.8,324.7,-22.5,3.617,3.599,33,31,7.58,22.78,real
100000037,2.02E+13,16.8,324.9,-22.5,3.618,3.599,33,31,7.59,22.83,real
100000038,2.02E+13,16.8,324.9,-22.5,3.618,3.599,33,31,7.61,22.87,real
100000039,2.02E+13,16.8,324.9,-22.5,3.618,3.6,33,31,7.63,22.93,real
100000040,2.02E+13,16.8,324.9,-22.5,3.618,3.6,33,31,7.64,22.98,real
100000041,2.02E+13,16.8,324.9,-22.5,3.619,3.6,33,31,7.66,23.03,real
100000042,2.02E+13,16.8,324.9,-22.5,3.619,3.601,33,31,7.68,23.08,real
100000043,2.02E+13,16.8,324.9,-22.5,3.62,3.601,33,31,7.69,23.13,real
100000044,2.02E+13,17.2,325,-22.5,3.62,3.602,33,31,7.71,23.18,real
100000045,2.02E+13,17.2,325,-22.5,3.621,3.602,33,31,7.72,23.23,real
100000046,2.02E+13,17.2,325,-22.5,3.621,3.603,33,31,7.75,23.3,real
100000047,2.02E+13,17.2,325,-22.5,3.621,3.603,33,31,7.76,23.35,real
100000048,2.02E+13,17.2,325,-22.5,3.621,3.603,33,31,7.78,23.4,real
100000049,2.02E+13,17.2,325.2,-22.5,3.621,3.604,33,31,7.79,23.45,real
100000050,2.02E+13,17.2,325.2,-22.5,3.621,3.603,33,31,7.82,23.5,real
100000051,2.02E+13,17.2,325.2,-22.5,3.622,3.604,33,31,7.83,23.55,real
100000052,2.02E+13,17.2,325.2,-22.5,3.622,3.604,33,31,7.84,23.6,real
100000053,2.02E+13,17.2,325.2,-22.5,3.622,3.604,33,31,7.87,23.65,real
100000054,2.02E+13,17.6,325.2,-22.5,3.623,3.605,33,31,7.88,23.7,real
100000055,2.02E+13,17.6,325.3,-22.5,3.624,3.605,33,31,7.89,23.75,real
100000056,2.02E+13,17.6,325.3,-22.5,3.623,3.605,33,31,7.92,23.8,real
100000057,2.02E+13,17.6,325.3,-22.5,3.624,3.605,33,31,7.93,23.84,real
100000058,2.02E+13,17.6,325.3,-22.5,3.624,3.606,33,31,7.95,23.92,real
100000059,2.02E+13,17.6,325.3,-22.5,3.624,3.607,33,31,7.97,23.97,real
100000060,2.02E+13,17.6,325.3,-22.5,3.625,3.606,33,31,7.99,24.02,real
100000061,2.02E+13,17.6,325.5,-22.5,3.625,3.607,33,31,8,24.07,real
100000062,2.02E+13,17.6,325.3,-22.5,3.625,3.607,33,31,8.01,24.09,real
100000063,2.02E+13,17.6,325.5,-22.5,3.625,3.607,33,31,8.03,24.15,real
100000064,2.02E+13,17.6,325.5,-22.5,3.625,3.607,33,31,8.05,24.21,real
100000065,2.02E+13,18,325.5,-22.5,3.626,3.608,33,31,8.07,24.26,real
100000066,2.02E+13,18,325.5,-22.5,3.626,3.608,33,31,8.08,24.31,real
100000067,2.02E+13,18,325.5,-22.5,3.627,3.608,33,31,8.099999,24.36,real
100000068,2.02E+13,18,325.7,-22.5,3.627,3.608,33,31,8.12,24.41,real
100000069,2.02E+13,18,325.7,-22.5,3.627,3.608,33,31,8.13,24.46,real
100000070,2.02E+13,18,325.7,-22.5,3.627,3.609,33,31,8.15,24.51,real
100000071,2.02E+13,18,325.7,-22.5,3.628,3.61,33,31,8.17,24.56,real
100000072,2.02E+13,18,325.8,-22.5,3.627,3.609,33,31,8.19,24.63,real
100000073,2.02E+13,18,325.7,-22.5,3.628,3.61,33,31,8.2,24.68,real
100000074,2.02E+13,18,325.8,-22.5,3.628,3.609,33,31,8.22,24.71,real
100000075,2.02E+13,18,325.8,-22.5,3.628,3.61,33,31,8.23,24.76,real
100000076,2.02E+13,18.4,325.8,-22.5,3.629,3.61,33,31,8.25,24.81,real
100000077,2.02E+13,18.4,325.8,-22.5,3.629,3.61,33,31,8.28,24.88,real
100000078,2.02E+13,18.4,325.8,-22.5,3.628,3.61,33,31,8.29,24.93,real
100000079,2.02E+13,18.4,325.8,-22.5,3.629,3.61,33,31,8.3,24.98,real
100000080,2.02E+13,18.4,325.8,-22.5,3.629,3.611,33,31,8.33,25.03,real
100000081,2.02E+13,18.4,325.8,-22.5,3.63,3.611,33,31,8.34,25.08,real
100000082,2.02E+13,18.4,326,-22.5,3.63,3.613,33,31,8.349999,25.13,real
100000083,2.02E+13,18.4,326,-22.5,3.63,3.612,33,31,8.37,25.17,real
100000084,2.02E+13,18.4,326,-22.5,3.631,3.613,33,31,8.389999,25.22,real
100000085,2.02E+13,18.4,326,-22.5,3.631,3.613,33,31,8.4,25.27,real
100000086,2.02E+13,18.8,326,-22.5,3.63,3.613,33,31,8.42,25.32,real
100000087,2.02E+13,18.8,326,-22.5,3.631,3.613,33,31,8.44,25.37,real
100000088,2.02E+13,18.8,326.1,-22.5,3.632,3.614,33,31,8.46,25.44,real
100000089,2.02E+13,18.8,326.1,-22.5,3.632,3.613,33,31,8.48,25.49,real
100000090,2.02E+13,18.8,326.1,-22.5,3.631,3.614,33,31,8.49,25.54,real
100000091,2.02E+13,18.8,326.1,-22.5,3.632,3.614,33,31,8.51,25.59,real
100000092,2.02E+13,18.8,326.1,-22.5,3.632,3.614,33,31,8.53,25.64,real
100000093,2.02E+13,18.8,326.1,-22.5,3.633,3.614,33,31,8.54,25.69,real
100000094,2.02E+13,18.8,326.1,-22.5,3.632,3.614,33,31,8.559999,25.74,real
100000095,2.02E+13,18.8,326.1,-22.5,3.633,3.615,33,31,8.58,25.79,real
100000096,2.02E+13,18.8,326.1,-22.5,3.633,3.615,33,31,8.59,25.84,real
100000097,2.02E+13,19.2,326.3,-22.5,3.633,3.615,33,31,8.61,25.89,real
100000098,2.02E+13,19.2,326.3,-22.5,3.633,3.615,33,31,8.63,25.94,real
100000099,2.02E+13,19.2,326.3,-22.5,3.634,3.616,33,31,8.639999,25.99,real
100000100,2.02E+13,19.2,326.3,-22.5,3.634,3.615,33,31,8.66,26.06,real
100000101,2.02E+13,19.2,326.3,-22.5,3.634,3.615,33,31,8.679999,26.11,real
100000102,2.02E+13,19.2,326.3,-22.5,3.634,3.617,33,31,8.7,26.16,real
100000103,2.02E+13,19.2,326.3,-22.5,3.634,3.617,33,31,8.71,26.21,real
100000104,2.02E+13,19.2,326.3,-22.5,3.635,3.616,33,31,8.73,26.26,real
100000105,2.02E+13,19.2,326.4,-22.5,3.634,3.617,33,31,8.75,26.31,real
100000106,2.02E+13,19.2,326.3,-22.5,3.635,3.618,33,31,8.76,26.36,real
100000107,2.02E+13,19.6,326.4,-22.5,3.634,3.617,33,31,8.78,26.41,real
100000108,2.02E+13,19.6,326.4,-22.5,3.635,3.618,33,31,8.8,26.46,real
100000109,2.02E+13,19.6,326.4,-22.5,3.635,3.618,33,31,8.809999,26.5,real
100000110,2.02E+13,19.6,326.4,-22.5,3.635,3.618,33,31,8.83,26.55,real
100000111,2.02E+13,19.6,326.4,-22.5,3.635,3.619,33,31,8.849999,26.6,real
100000112,2.02E+13,19.6,326.6,-22.5,3.635,3.619,33,31,8.86,26.65,real
100000113,2.02E+13,19.6,326.4,-22.5,3.636,3.619,33,31,8.88,26.7,real
100000114,2.02E+13,19.6,326.4,-22.5,3.635,3.619,33,31,8.9,26.75,real
100000115,2.02E+13,19.6,326.4,-22.5,3.636,3.619,33,31,8.91,26.8,real
100000116,2.02E+13,19.6,326.6,-22.5,3.635,3.619,33,31,8.94,26.87,real
100000117,2.02E+13,19.6,326.6,-22.5,3.636,3.62,33,31,8.95,26.92,real
100000118,2.02E+13,20,326.4,-22.5,3.636,3.62,33,31,8.97,26.97,real
100000119,2.02E+13,20,326.6,-22.5,3.636,3.621,33,31,8.99,27.02,real
100000120,2.02E+13,20,326.6,-22.5,3.636,3.621,33,31,9,27.07,real
100000121,2.02E+13,20,326.6,-22.5,3.636,3.62,33,31,9.02,27.12,real
100000122,2.02E+13,20,326.6,-22.5,3.637,3.621,33,31,9.04,27.17,real
100000123,2.02E+13,20,326.6,-22.5,3.636,3.621,33,31,9.05,27.22,real
100000124,2.02E+13,20,326.6,-22.5,3.637,3.621,33,31,9.07,27.27,real
100000125,2.02E+13,20,326.6,-22.5,3.637,3.622,33,31,9.09,27.32,real
100000126,2.02E+13,20,326.7,-22.5,3.636,3.622,33,31,9.099999,27.37,real
100000127,2.02E+13,20,326.7,-22.5,3.638,3.621,33,31,9.12,27.42,real
100000128,2.02E+13,20,326.6,-22.5,3.637,3.621,33,31,9.139999,27.47,real
100000129,2.02E+13,20.4,326.7,-22.5,3.638,3.621,33,31,9.16,27.54,real
100000130,2.02E+13,20.4,326.7,-22.5,3.639,3.623,33,31,9.17,27.59,real
100000131,2.02E+13,20.4,326.7,-22.5,3.637,3.623,33,31,9.19,27.64,real
100000132,2.02E+13,20.4,326.7,-22.5,3.639,3.622,33,31,9.21,27.69,real
100000133,2.02E+13,20.4,326.7,-22.5,3.639,3.624,33,31,9.22,27.74,real
100000134,2.02E+13,20.4,326.7,-22.5,3.639,3.623,33,31,9.24,27.79,real
100000135,2.02E+13,20.4,326.7,-22.5,3.638,3.623,33,31,9.26,27.83,real
100000136,2.02E+13,20.4,326.7,-22.5,3.638,3.623,33,31,9.27,27.88,real
100000137,2.02E+13,20.4,326.7,-22.5,3.638,3.624,33,31,9.29,27.93,real
100000138,2.02E+13,20.4,326.7,-22.5,3.639,3.624,33,31,9.3,27.98,real
100000139,2.02E+13,20.4,326.7,-22.5,3.639,3.625,33,31,9.32,28.03,real
100000140,2.02E+13,20.8,326.7,-22.5,3.639,3.624,33,31,9.34,28.08,real
100000141,2.02E+13,20.8,326.9,-22.5,3.639,3.625,33,31,9.349999,28.13,real
100000142,2.02E+13,20.8,326.7,-22.5,3.639,3.625,33,31,9.37,28.2,real
100000143,2.02E+13,20.8,326.9,-22.5,3.639,3.625,33,31,9.4,28.25,real
100000144,2.02E+13,20.8,326.9,-22.5,3.64,3.625,33,31,9.41,28.3,real
100000145,2.02E+13,20.8,326.9,-22.5,3.639,3.625,33,31,9.429999,28.35,real
100000146,2.02E+13,20.8,326.9,-22.5,3.64,3.626,33,31,9.45,28.4,real
100000147,2.02E+13,20.8,326.9,-22.5,3.64,3.626,33,31,9.46,28.45,real
100000148,2.02E+13,20.8,326.9,-22.5,3.64,3.626,33,31,9.48,28.5,real
100000149,2.02E+13,20.8,326.9,-22.5,3.64,3.626,33,31,9.5,28.55,real
100000150,2.02E+13,21.2,326.9,-22.5,3.64,3.626,33,31,9.51,28.6,real
100000151,2.02E+13,21.2,326.9,-22.5,3.64,3.626,33,31,9.53,28.65,real
100000152,2.02E+13,21.2,326.9,-22.5,3.64,3.626,33,31,9.55,28.7,real
100000153,2.02E+13,21.2,326.9,-22.5,3.64,3.628,33,31,9.559999,28.75,real
100000154,2.02E+13,21.2,326.9,-22.5,3.641,3.626,33,31,9.58,28.8,real
100000155,2.02E+13,21.2,326.9,-22.5,3.64,3.627,33,31,9.599999,28.87,real
100000156,2.02E+13,21.2,327.1,-22.5,3.64,3.628,33,31,9.62,28.92,real
100000157,2.02E+13,21.2,327.1,-22.5,3.641,3.628,33,31,9.63,28.97,real
100000158,2.02E+13,21.2,327.1,-22.5,3.641,3.628,33,31,9.65,29.02,real
100000159,2.02E+13,21.2,327.1,-22.5,3.641,3.629,33,31,9.66,29.07,real
100000160,2.02E+13,21.2,327.1,-22.5,3.641,3.628,33,31,9.679999,29.12,real
100000161,2.02E+13,21.6,327.1,-22.5,3.641,3.627,33,31,9.7,29.16,real
100000162,2.02E+13,21.6,327.1,-22.5,3.642,3.628,33,31,9.71,29.21,real
100000163,2.02E+13,21.6,327.1,-22.5,3.642,3.628,33,31,9.73,29.26,real
100000164,2.02E+13,21.6,327.1,-22.5,3.642,3.629,33,31,9.75,29.31,real
100000165,2.02E+13,21.6,327.1,-22.5,3.642,3.629,33,31,9.76,29.36,real
100000166,2.02E+13,21.6,327.1,-22.5,3.642,3.628,33,31,9.78,29.41,real
100000167,2.02E+13,21.6,327.1,-22.5,3.643,3.629,33,31,9.809999,29.48,real
100000168,2.02E+13,21.6,327.2,-22.5,3.642,3.629,33,31,9.82,29.53,real
100000169,2.02E+13,21.6,327.1,-22.5,3.643,3.63,33,31,9.83,29.58,real
100000170,2.02E+13,21.6,327.2,-22.5,3.642,3.629,33,31,9.86,29.63,real
100000171,2.02E+13,22,327.1,-22.5,3.643,3.629,33,31,9.87,29.68,real
100000172,2.02E+13,22,327.1,-22.5,3.643,3.629,33,31,9.889999,29.73,real
100000173,2.02E+13,22,327.1,-22.5,3.643,3.63,33,31,9.91,29.78,real
100000174,2.02E+13,22,327.2,-22.5,3.642,3.63,33,31,9.92,29.83,real
100000175,2.02E+13,22,327.2,-22.5,3.643,3.63,33,31,9.94,29.88,real
100000176,2.02E+13,22,327.2,-22.5,3.643,3.629,33,31,9.95,29.93,real
100000177,2.02E+13,22,327.2,-22.5,3.643,3.631,33,31,9.98,30,real
100000178,2.02E+13,22,327.2,-22.5,3.644,3.63,33,31,9.99,30.05,real
100000179,2.02E+13,22,327.2,-22.5,3.643,3.63,33,31,10.01,30.1,real
100000180,2.02E+13,22,327.2,-22.5,3.644,3.63,33,31,10.02,30.15,real
100000181,2.02E+13,22,327.2,-22.5,3.644,3.631,33,31,10.04,30.2,real
100000182,2.02E+13,22.4,327.2,-22.5,3.644,3.631,33,31,10.06,30.25,real
100000183,2.02E+13,22.4,327.2,-22.5,3.644,3.631,33,31,10.07,30.3,real
100000184,2.02E+13,22.4,327.2,-22.5,3.644,3.631,33,31,10.09,30.35,real
100000185,2.02E+13,22.4,327.4,-22.5,3.644,3.631,33,31,10.11,30.4,real
100000186,2.02E+13,22.4,327.4,-22.5,3.645,3.631,33,31,10.12,30.45,real
100000187,2.02E+13,22.4,327.4,-22.5,3.644,3.632,33,31,10.14,30.49,real
100000188,2.02E+13,22.4,327.2,-22.5,3.645,3.632,33,31,10.16,30.54,real
100000189,2.02E+13,22.4,327.4,-22.5,3.644,3.632,33,31,10.18,30.61,real
100000190,2.02E+13,22.4,327.4,-22.5,3.645,3.632,33,31,10.19,30.66,real
100000191,2.02E+13,22.4,327.4,-22.5,3.645,3.632,33,31,10.22,30.71,real
100000192,2.02E+13,22.4,327.4,-22.5,3.645,3.632,33,31,10.23,30.76,real
100000193,2.02E+13,22.8,327.4,-22.5,3.645,3.632,33,31,10.24,30.81,real
100000194,2.02E+13,22.8,327.4,-22.5,3.646,3.633,33,31,10.27,30.86,real
100000195,2.02E+13,22.8,327.4,-22.5,3.646,3.633,33,31,10.28,30.91,real
100000196,2.02E+13,22.8,327.4,-22.5,3.646,3.633,33,31,10.29,30.96,real
100000197,2.02E+13,22.8,327.4,-22.5,3.646,3.632,33,31,10.31,31.01,real
100000198,2.02E+13,22.8,327.4,-22.5,3.645,3.633,33,31,10.33,31.06,real
100000199,2.02E+13,22.8,327.4,-22.5,3.646,3.633,33,31,10.35,31.11,real
100000200,2.02E+13,22.8,327.5,-22.5,3.646,3.633,33,31,10.37,31.17,real
100000201,2.02E+13,22.8,327.4,-22.5,3.646,3.633,33,31,10.38,31.22,real
100000202,2.02E+13,22.8,327.4,-22.5,3.646,3.633,33,31,10.4,31.28,real
100000203,2.02E+13,23.2,327.4,-22.5,3.646,3.634,33,31,10.42,31.33,real
100000204,2.02E+13,23.2,327.5,-22.5,3.647,3.634,33,31,10.43,31.38,real
100000205,2.02E+13,23.2,327.5,-22.5,3.647,3.634,33,31,10.45,31.44,real
100000206,2.02E+13,23.2,327.5,-22.5,3.646,3.634,33,31,10.47,31.48,real
100000207,2.02E+13,23.2,327.5,-22.5,3.647,3.634,33,31,10.48,31.53,real
100000208,2.02E+13,23.2,327.5,-22.5,3.646,3.634,33,31,10.5,31.58,real
100000209,2.02E+13,23.2,327.5,-22.5,3.646,3.634,33,31,10.52,31.64,real
100000210,2.02E+13,23.2,327.5,-22.5,3.647,3.635,33,31,10.54,31.69,real
100000211,2.02E+13,23.2,327.5,-22.5,3.647,3.635,33,31,10.55,31.74,real
100000212,2.02E+13,23.2,327.5,-22.5,3.647,3.635,33,31,10.58,31.79,real
100000213,2.02E+13,23.2,327.5,-22.5,3.647,3.635,33,31,10.59,31.84,real
100000214,2.02E+13,23.6,327.5,-22.5,3.647,3.635,33,31,10.61,31.91,real
100000215,2.02E+13,23.6,327.5,-22.5,3.647,3.635,33,31,10.63,31.96,real
100000216,2.02E+13,23.6,327.5,-22.5,3.648,3.635,33,31,10.65,32.01,real
100000217,2.02E+13,23.6,327.5,-22.5,3.648,3.635,33,31,10.65,32.04,real
100000218,2.02E+13,23.6,327.7,-22.5,3.648,3.636,33,31,10.68,32.11,real
100000219,2.02E+13,23.6,327.5,-22.5,3.648,3.635,33,31,10.7,32.16,real
100000220,2.02E+13,23.6,327.7,-22.5,3.648,3.635,33,31,10.71,32.21,real
100000221,2.02E+13,23.6,327.5,-22.5,3.648,3.636,33,31,10.73,32.26,real
100000222,2.02E+13,23.6,327.7,-22.5,3.648,3.636,33,31,10.74,32.31,real
100000223,2.02E+13,23.6,327.7,-22.5,3.649,3.636,33,31,10.77,32.37,real
100000224,2.02E+13,24,327.7,-22.5,3.648,3.636,33,31,10.78,32.43,real
100000225,2.02E+13,24,327.7,-22.5,3.648,3.636,33,31,10.8,32.48,real
100000226,2.02E+13,24,327.7,-22.5,3.648,3.636,33,31,10.81,32.53,real
100000227,2.02E+13,24,327.7,-22.5,3.648,3.636,33,31,10.83,32.58,real
100000228,2.02E+13,24,327.7,-22.5,3.649,3.635,33,31,10.85,32.62,real
100000229,2.02E+13,24,327.7,-22.5,3.649,3.637,33,31,10.86,32.67,real
100000230,2.02E+13,24,327.7,-22.5,3.649,3.637,33,31,10.88,32.72,real
100000231,2.02E+13,24,327.7,-22.5,3.649,3.637,33,31,10.9,32.77,real
100000232,2.02E+13,24,327.7,-22.5,3.65,3.637,33,31,10.91,32.82,real
100000233,2.02E+13,24,327.7,-22.5,3.65,3.637,33,31,10.93,32.89,real
100000234,2.02E+13,24,327.7,-22.5,3.649,3.637,33,31,10.96,32.94,real
100000235,2.02E+13,24.4,327.8,-22.5,3.65,3.638,33,31,10.97,32.99,real
100000236,2.02E+13,24.4,327.8,-22.5,3.65,3.637,33,31,10.98,33.04,real
100000237,2.02E+13,24.4,327.8,-22.5,3.65,3.638,33,31,11.01,33.09,real
100000238,2.02E+13,24.4,327.8,-22.5,3.65,3.638,33,31,11.02,33.14,real
100000239,2.02E+13,24.4,327.7,-22.5,3.651,3.639,33,31,11.04,33.19,real
100000240,2.02E+13,24.4,327.8,-22.5,3.65,3.638,33,31,11.06,33.24,real
100000241,2.02E+13,24.4,327.8,-22.5,3.651,3.639,33,31,11.07,33.29,real
100000242,2.02E+13,24.4,327.8,-22.5,3.651,3.638,33,31,11.09,33.34,real
100000243,2.02E+13,24.4,327.8,-22.5,3.65,3.638,33,31,11.1,33.39,real
100000244,2.02E+13,24.4,327.8,-22.5,3.65,3.638,33,31,11.12,33.44,real
100000245,2.02E+13,24.8,327.8,-22.5,3.65,3.638,33,31,11.14,33.5,real
100000246,2.02E+13,24.8,327.8,-22.5,3.651,3.638,33,31,11.16,33.55,real
100000247,2.02E+13,24.8,327.8,-22.5,3.651,3.638,33,31,11.17,33.6,real
100000248,2.02E+13,24.8,328,-22.5,3.651,3.639,33,31,11.19,33.65,real
100000249,2.02E+13,24.8,327.8,-22.5,3.651,3.639,33,32,11.21,33.7,real
100000250,2.02E+13,24.8,328,-22.5,3.651,3.639,33,32,11.23,33.77,real
100000251,2.02E+13,24.8,328,-22.5,3.651,3.639,33,32,11.24,33.82,real
100000252,2.02E+13,24.8,328,-22.5,3.651,3.639,33,32,11.27,33.87,real
100000253,2.02E+13,24.8,328,-22.5,3.652,3.639,33,32,11.27,33.91,real
100000254,2.02E+13,24.8,328,-22.5,3.651,3.639,33,32,11.29,33.97,real
100000255,2.02E+13,24.8,328,-22.5,3.651,3.639,33,32,11.32,34.02,real
100000256,2.02E+13,25.2,328,-22.5,3.652,3.64,33,32,11.33,34.07,real
100000257,2.02E+13,25.2,328,-22.5,3.652,3.639,33,32,11.34,34.12,real
100000258,2.02E+13,25.2,328,-22.5,3.653,3.64,33,32,11.37,34.17,real
100000259,2.02E+13,25.2,328,-22.5,3.652,3.64,33,32,11.39,34.24,real
100000260,2.02E+13,25.2,328,-22.5,3.652,3.639,33,32,11.4,34.29,real
100000261,2.02E+13,25.2,328,-22.5,3.652,3.64,33,32,11.42,34.34,real
100000262,2.02E+13,25.2,328,-22.5,3.653,3.64,33,32,11.44,34.39,real
100000263,2.02E+13,25.2,328,-22.5,3.653,3.64,33,32,11.45,34.44,real
100000264,2.02E+13,25.2,328.2,-22.5,3.652,3.64,33,32,11.47,34.48,real
100000265,2.02E+13,25.2,328,-22.5,3.653,3.641,33,32,11.49,34.53,real
100000266,2.02E+13,25.6,328.2,-22.5,3.654,3.64,33,32,11.5,34.58,real
100000267,2.02E+13,25.6,328,-22.5,3.653,3.64,33,32,11.52,34.63,real
100000268,2.02E+13,25.6,328.2,-22.5,3.653,3.641,33,32,11.54,34.7,real
100000269,2.02E+13,25.6,328,-22.5,3.654,3.641,33,32,11.56,34.75,real
100000270,2.02E+13,25.6,328.2,-22.5,3.654,3.641,33,32,11.57,34.8,real
100000271,2.02E+13,25.6,328.2,-22.5,3.654,3.641,33,32,11.59,34.85,real
100000272,2.02E+13,25.6,328.2,-22.5,3.654,3.642,33,32,11.61,34.9,real
100000273,2.02E+13,25.6,328.2,-22.5,3.654,3.641,33,32,11.62,34.95,real
100000274,2.02E+13,25.6,328.2,-22.5,3.654,3.641,33,32,11.64,35,real
100000275,2.02E+13,25.6,328.2,-22.5,3.653,3.642,33,32,11.65,35.05,real
100000276,2.02E+13,25.6,328.2,-22.5,3.654,3.642,33,32,11.67,35.1,real
100000277,2.02E+13,26,328.3,-22.5,3.654,3.642,33,32,11.69,35.15,real
100000278,2.02E+13,26,328.2,-22.5,3.654,3.642,33,32,11.7,35.2,real
100000279,2.02E+13,26,328.2,-22.5,3.654,3.643,33,32,11.73,35.26,real
100000280,2.02E+13,26,328.3,-22.5,3.654,3.643,33,32,11.75,35.31,real
100000281,2.02E+13,26,328.3,-22.5,3.654,3.643,33,32,11.76,35.36,real
100000282,2.02E+13,26,328.3,-22.5,3.654,3.643,33,32,11.78,35.42,real
100000283,2.02E+13,26,328.2,-22.5,3.655,3.643,33,32,11.8,35.47,real
100000284,2.02E+13,26,328.3,-22.5,3.655,3.643,33,32,11.81,35.52,real
100000285,2.02E+13,26,328.3,-22.5,3.655,3.642,33,32,11.83,35.57,real
100000286,2.02E+13,26,328.3,-22.5,3.656,3.643,33,32,11.85,35.63,real
100000287,2.02E+13,26.4,328.2,-22.5,3.655,3.643,33,32,11.87,35.68,real
100000288,2.02E+13,26.4,328.3,-22.5,3.655,3.643,33,32,11.88,35.73,real
100000289,2.02E+13,26.4,328.3,-22.5,3.655,3.643,33,32,11.9,35.78,real
100000290,2.02E+13,26.4,328.3,-22.5,3.655,3.643,33,32,11.92,35.83,real
100000291,2.02E+13,26.4,328.3,-22.5,3.656,3.644,33,32,11.93,35.88,real
100000292,2.02E+13,26.4,328.3,-22.5,3.656,3.644,33,32,11.95,35.93,real
100000293,2.02E+13,26.4,328.3,-22.5,3.656,3.643,33,32,11.97,35.98,real
100000294,2.02E+13,26.4,328.3,-22.5,3.656,3.644,33,32,11.99,36.05,real
100000295,2.02E+13,26.4,328.3,-22.5,3.656,3.644,33,32,12.01,36.1,real
100000296,2.02E+13,26.4,328.3,-22.5,3.656,3.644,33,32,12.02,36.15,real
100000297,2.02E+13,26.4,328.3,-22.5,3.656,3.644,33,32,12.04,36.2,real
100000298,2.02E+13,26.8,328.3,-22.5,3.656,3.644,33,32,12.06,36.25,real
100000299,2.02E+13,26.8,328.3,-22.5,3.657,3.644,33,32,12.07,36.3,real
100000300,2.02E+13,26.8,328.5,-22.5,3.657,3.644,33,32,12.08,36.34,real
100000301,2.02E+13,26.8,328.3,-22.5,3.657,3.644,33,32,12.11,36.39,real
100000302,2.02E+13,26.8,328.3,-22.5,3.657,3.644,33,32,12.13,36.46,real
100000303,2.02E+13,26.8,328.5,-22.5,3.656,3.646,33,32,12.14,36.51,real
